"","minExpected","MinPlayed","Prob"
"1013",32,21,0.009606
"1014",32,22,0.012454
"1015",32,23,0.01585
"1016",32,24,0.020239
"1017",32,25,0.025353
"1018",32,26,0.031247
"1019",32,27,0.037703
"1020",32,28,0.045205
"1021",32,29,0.05341
"1022",32,30,0.061216
"1023",32,31,0.068916
"1024",32,32,0.076001
"1025",32,33,0.079766
"1026",32,34,0.081792
"1027",32,35,0.080905
"1028",32,36,0.075757
"1029",32,37,0.067963
"1030",32,38,0.056842
"1031",32,39,0.043902
"1032",32,40,0.015358
"1033",32,41,0.007916
"1034",32,42,0.003572
"1035",32,43,0.001115
"1036",32,44,0.000224
"1037",32,45,2.6e-05
"1038",33,1,9e-06
"1039",33,2,8e-06
"1040",33,3,2.3e-05
"1041",33,4,3.4e-05
"1042",33,5,3.8e-05
"1043",33,6,5.7e-05
"1044",33,7,0.000104
"1045",33,8,0.000106
"1046",33,9,0.000181
"1047",33,10,0.000218
"1048",33,11,0.000311
"1049",33,12,0.000467
"1050",33,13,0.000681
"1051",33,14,0.000837
"1052",33,15,0.001203
"1053",33,16,0.001725
"1054",33,17,0.002168
"1055",33,18,0.00304
"1056",33,19,0.003927
"1057",33,20,0.005318
"1058",33,21,0.006839
"1059",33,22,0.009191
"1060",33,23,0.011945
"1061",33,24,0.015169
"1062",33,25,0.01953
"1063",33,26,0.024414
"1064",33,27,0.030455
"1065",33,28,0.037012
"1066",33,29,0.043983
"1067",33,30,0.052241
"1068",33,31,0.06077
"1069",33,32,0.06887
"1070",33,33,0.076481
"1071",33,34,0.081693
"1072",33,35,0.085341
"1073",33,36,0.085649
"1074",33,37,0.081975
"1075",33,38,0.074077
"1076",33,39,0.062753
"1077",33,40,0.024819
"1078",33,41,0.014771
"1079",33,42,0.007538
"1080",33,43,0.003012
"1081",33,44,0.000871
"1082",33,45,0.000139
"1083",33,46,7e-06
"1084",34,1,6e-06
"1085",34,2,6e-06
"1086",34,3,1.4e-05
"1087",34,4,1.7e-05
"1088",34,5,1.8e-05
"1089",34,6,4.4e-05
"1090",34,7,5.9e-05
"1091",34,8,8.8e-05
"1092",34,9,0.000123
"1093",34,10,0.000183
"1094",34,11,0.000247
"1095",34,12,0.000314
"1096",34,13,0.000459
"1097",34,14,0.000607
"1098",34,15,0.00088
"1099",34,16,0.001183
"1100",34,17,0.001676
"1101",34,18,0.002177
"1102",34,19,0.002949
"1103",34,20,0.003814
"1104",34,21,0.005116
"1105",34,22,0.006857
"1106",34,23,0.008718
"1107",34,24,0.011601
"1108",34,25,0.014675
"1109",34,26,0.018615
"1110",34,27,0.023234
"1111",34,28,0.02938
"1112",34,29,0.036009
"1113",34,30,0.043038
"1114",34,31,0.05215
"1115",34,32,0.060913
"1116",34,33,0.069364
"1117",34,34,0.0778
"1118",34,35,0.085497
"1119",34,36,0.090036
"1120",34,37,0.092423
"1121",34,38,0.090021
"1122",34,39,0.083798
"1123",34,40,0.036311
"1124",34,41,0.024973
"1125",34,42,0.014412
"1126",34,43,0.007041
"1127",34,44,0.002515
"1128",34,45,0.000599
"1129",34,46,4e-05
"1130",35,1,8e-06
"1131",35,2,1.1e-05
"1132",35,3,1.3e-05
"1133",35,4,2.3e-05
"1134",35,5,2.4e-05
