"","PlayerId","seasonYear","GameId","Date","Team","Name","Position","Starter","Min","Fg.Made","Fg.Attempted","Three.Made","Three.Attempted","FT.Made","FT.Attempted","Offensive.Rebound","Defensive.Rebound","Total.Rebounds","Assists","Steals","Blocks","Turnovers","Personal.Fouls","Plus.Minus","Points","bookmaker","id","cumMinInSeason","cumGamesPlayedInSeason","averageMinutesInSeason","lastGameMin","FirstDate","firstGame","LastDate"
"8888",3032978,"2025",401704804,20241117,"DEN","D. Saric","PF",1,32,4,10,2,5,0,0,2,8,10,3,2,0,0,1,-5,10,"","401704804_3032978",110,7,15.7142857142857,32,20241024,0,20241117
"8966",3032979,"2025",401704806,20241117,"BKN","D. Schroder","PG",1,31,2,11,2,6,2,2,0,1,1,6,0,0,0,1,-16,8,"","401704806_3032979",479,14,34.2142857142857,31,20241023,0,20241117
"9079",3037789,"2025",401704816,20241118,"ATL","B. Bogdanovic","SG",0,18,2,7,2,6,0,0,0,3,3,3,0,0,0,1,-9,6,"","401704816_3037789",46,2,23,18,20241023,0,20241118
"9128",3056245,"2024",401585810,20240412,"NO","M. Hill","F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401585810_3056245",NA,NA,-1,-1,20240127,0,20240412
"9139",3058254,"2025",401704703,20241101,"LAL","C. Wood","F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704703_3058254",NA,NA,-1,-1,20241030,0,20241101
"9193",3059307,"2024",401585822,20240414,"PHX","I. Wainright","F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401585822_3059307",NA,NA,5.81818181818182,1,20231112,0,20240414
"9258",3059310,"2025",401704815,20241118,"PHX","M. Morris","PG",0,13,3,5,0,2,2,2,0,1,1,0,0,0,0,0,-7,8,"","401704815_3059310",128,11,11.6363636363636,13,20241023,0,20241118
"9325",3059318,"2025",401704811,20241118,"PHI","J. Embiid","C",1,31,5,11,1,3,0,0,1,7,8,5,0,1,2,1,-22,11,"","401704811_3059318",90,3,30,31,20241106,0,20241118
"9378",3059319,"2025",401704817,20241118,"GS","A. Wiggins","SF",1,29,7,12,2,4,6,8,2,1,3,0,0,1,1,0,-5,22,"","401704817_3059319",295,11,26.8181818181818,29,20241023,0,20241118
"9467",3062679,"2025",401704812,20241118,"NY","J. Hart","SG",1,32,6,9,2,5,0,0,0,6,6,3,0,0,1,1,26,14,"","401704812_3062679",520,14,37.1428571428571,32,20241022,0,20241118
